SUSE Virtualization,1.8.1 - Prime,29 Jun 2026,29 Dec 2026,29 Dec 2027
SUSE Virtualization,1.8.0 - Community,28 Apr 2026,,
SUSE Virtualization,1.7.2 - Prime,7 Jul 2026,9 Aug 2026,9 Aug 2027
SUSE Virtualization,1.7.1 - Prime,9 Feb 2026,9 Aug 2026,9 Aug 2027
SUSE Virtualization,1.7.0 - Community,23 Dec 2025,,
SUSE Virtualization,1.6.1 - Prime,16 Oct 2025,16 Apr 2026,16 Apr 2027
SUSE Virtualization,1.6.0 - Community,27 Aug 2025,,
SUSE Virtualization,1.5.2 - Prime,17 Sep 2025,30 Dec 2025,30 Dec 2026
SUSE Virtualization,1.5.1 - Prime,30 Jun 2025,30 Dec 2025,30 Dec 2026
SUSE Virtualization,1.5.0 - Community,25 Apr 2025,,
SUSE Virtualization,1.4.3 - Stable,25 May 2025,,27 Nov 2025
SUSE Virtualization,1.4.2 - Stable,11 Mar 2025,,27 Nov 2025
SUSE Virtualization,1.4.1 - Stable,24 Jan 2025,,27 Nov 2025
SUSE Virtualization,1.4.0 - Stable,27 Nov 2024,,27 Nov 2025
SUSE Virtualization,1.3.2 - Stable,6 Sep 2024,,13 Jun 2025
SUSE Virtualization,1.3.1 - Stable,13 Jun 2024,,13 Jun 2025
SUSE Virtualization,1.3.0,15 Mar 2024,,13 Jun 2025
